Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Popularity,YouTube Views,YouTube Likes
Sweet Child O' Mine,Appetite For Destruction,Guns N' Roses,7/21/1987,3931,21.5,1879386440,295491,80,2007460784,11222080
Smells Like Teen Spirit,Nevermind (30th Anniversary Edition Super Deluxe),Nirvana,9/24/1991,4510,19.6,2021910364,410054,77,348081676,4710499
All I Want for Christmas Is You,Merry Christmas,Mariah Carey,1/1/1994,2097,31.5,1810649765,109411,60,824500156,7455155
Beautiful Girls,Groove So Much !,Sean Kingston,4/3/1998,4155,20.8,178339925,189706,72,1499385808,12220360
Californication,Californication (Deluxe Version),Red Hot Chili Peppers,6/8/1999,3730,22.2,1405353677,276377,79,1518596886,7781636
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,1/1/2000,2796,26.5,1798020679,352947,81,961666231,7927293
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,10/24/2000,1803,34.3,2045512421,324745,82,2375021286,17765456
Over the Rainbow,Alone In Iz World,Israel Kamakawiwo'ole,9/25/2001,4361,20.1,399145178,94038,68,1632844702,11706967
Without Me,The Source - Hip Hop Hits Vol. 6,Eminem,1/1/2002,3210,24.3,2146682342,397228,83,347730526,3552978
Till I Collapse,The Eminem Show,Eminem,5/26/2002,2651,27.4,1958809069,282888,79,1463549979,10918289
Dilemma,Nellyville (Explicit Version),Nelly,6/25/2002,2573,27.9,859999247,170136,74,1639732381,8770296
The Scientist,The Scientist,Coldplay,8/5/2002,4294,20.3,1903413912,239330,79,1864046384,10131009
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,10/29/2002,2222,30.4,2194935773,345119,75,1360758976,9892246
Bring Me To Life,Fallen,Evanescence,1/1/2003,3963,21.4,1129346989,229491,79,1380253721,9926891
Seven Nation Army,Elephant,The White Stripes,1/1/2003,4030,21.2,1657866786,206953,81,339571990,4052894
Numb,Meteora,Linkin Park,3/24/2003,2472,28.7,1720830668,270810,80,2450982330,15462896
Yeah! (feat. Lil Jon & Ludacris),Kings Of Crunk (Special Edition),USHER,1/1/2004,2020,32.1,1307469137,255327,80,1200224642,8294174
Mr. Brightside,Hot Fuss,The Killers,1/1/2004,3346,23.7,2174022106,326294,81,183968852,1687112
Let Me Love You,Turning Point,Mario,1/1/2004,3608,22.6,971172980,146441,70,996052113,5781852
El Patito Juan,La Hormiguita Hippie,Biper Y Sus Amigos,10/24/2004,3969,21.4,29422741,3040,54,2970122390,1957811
Mockingbird,Encore (Deluxe),Eminem,11/12/2004,3983,21.4,1680919413,293385,82,244059770,2900004
Love You So,The King Khan & BBQ Show,The King Khan & BBQ Show,1/1/2005,1918,33.1,16326628,12434,44,7603329,122780
Hips Don't Lie (feat. Wyclef Jean),Oral Fixation Vol. 2,Shakira,1/1/2005,2257,30.1,1631152967,261693,80,1663636127,9345192
Candy Shop,Candy Shop,50 Cent,1/1/2005,3732,22.2,954807024,219091,75,1230174677,8016633
Feel Good Inc.,Demon Days,Gorillaz,5/23/2005,3548,22.8,1407382497,357484,78,1211241854,10819604
Viva La Vida,Meu Pai ï¿½ï¿½ do,Coldplay,9/21/2005,2619,27.5,2102223775,335772,80,1412127488,8707376
Promiscuous,Loose (Japan Version),Nelly Furtado,1/1/2006,3348,23.7,1194124781,235618,78,810297837,4900990
Smack That - Dirty,Smack That (feat. Eminem),Akon,1/1/2006,3422,23.4,1023825031,204464,80,1251716030,8866662
Snow (Hey Oh),Stadium Arcadium (U.S. Version),Red Hot Chili Peppers,5/9/2006,4442,19.8,1070374387,203821,74,710124074,3609104
I Am Your Gummy Bear (The Gummy Bear Song),Gummybear Song,Gummibï¿½,1/1/2007,2307,29.8,104073182,11904,57,3982526341,11455880
Umbrella,Good Girl Gone Bad,Rihanna,1/1/2007,3340,23.8,1535595924,236327,77,1266946594,7227133
The Way I Are,Shock Value (International Version),Timbaland,1/1/2007,4495,19.6,858734232,177813,78,671323389,3052958
505,Favourite Worst Nightmare,Arctic Monkeys,4/21/2007,3999,21.3,1660504577,315657,80,611110729,4963235
Low (feat. T-Pain),Low,Flo Rida,11/6/2007,3104,24.8,1057114779,244989,76,519089248,3897751
I'm Yours,DDB Hitzone Best Of 2008,Jason Mraz,1/1/2008,2136,31.1,1878098512,241725,72,359866287,1614148
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,1/1/2008,2738,26.9,1315577954,261770,79,366241783,2719377
Hot N Cold,NOW 29,Katy Perry,1/1/2008,2998,25.4,886077008,154757,69,1332106664,6819005
Sex on Fire,Balance Le Son,Kings of Leon,1/1/2008,3116,24.7,1427050913,265075,79,683904891,3402940
Poker Face,The Fame,Lady Gaga,1/1/2008,3302,23.9,1285242562,216338,77,256379013,2156909
Walking On A Dream,Walking On A Dream,Empire Of The Sun,1/1/2008,3476,23.2,923637058,248136,74,326484288,2513872
Just Dance,The Fame,Lady Gaga,1/1/2008,3629,22.5,1062571821,183102,74,566585521,2999671
You Belong With Me,Fearless,Taylor Swift,1/1/2008,3720,22.2,643828366,87942,66,1600713698,10233607
Halo,I AM...SASHA FIERCE - Platinum Edition,Beyoncï¿,1/1/2008,4309,20.3,1556326643,167145,68,311700550,2730131
You're Gonna Go Far Kid,Rise And Fall Rage And Grace,The Offspring,6/12/2008,4334,20.2,968810827,177742,77,336220628,2996719
Memories (feat. Kid Cudi),VIVA Club Rotation (Vol. 46),Kid Cudi,12/5/2008,3778,22,923932404,261469,63,589202937,3297320
