Post,Hours Since Posting,New Views
https://x.com/demishassabis/status/1970567187405644293,1,15046
https://x.com/demishassabis/status/1970567187405644293,2,13541
https://x.com/demishassabis/status/1970567187405644293,3,12187
https://x.com/demishassabis/status/1970567187405644293,4,10969
https://x.com/demishassabis/status/1970567187405644293,5,9872
https://x.com/demishassabis/status/1970567187405644293,6,8885
https://x.com/demishassabis/status/1970567187405644293,7,7996
https://x.com/demishassabis/status/1970567187405644293,8,7196
https://x.com/demishassabis/status/1970567187405644293,9,6477
https://x.com/demishassabis/status/1970567187405644293,10,5829
https://x.com/demishassabis/status/1970567187405644293,11,5246
https://x.com/demishassabis/status/1970567187405644293,12,4722
https://x.com/demishassabis/status/1970567187405644293,13,4249
https://x.com/demishassabis/status/1970567187405644293,14,3824
https://x.com/demishassabis/status/1970567187405644293,15,3442
https://x.com/demishassabis/status/1970567187405644293,16,3098
https://x.com/demishassabis/status/1970567187405644293,17,2788
https://x.com/demishassabis/status/1970567187405644293,18,2509
https://x.com/demishassabis/status/1970567187405644293,19,2258
https://x.com/demishassabis/status/1970567187405644293,20,2032
https://x.com/demishassabis/status/1970567187405644293,21,1829
https://x.com/demishassabis/status/1970567187405644293,22,1646
https://x.com/demishassabis/status/1970567187405644293,23,1482
https://x.com/demishassabis/status/1970567187405644293,24,1334
https://x.com/demishassabis/status/1968092796549730502,1,930
https://x.com/demishassabis/status/1968092796549730502,2,921
https://x.com/demishassabis/status/1968092796549730502,3,911
https://x.com/demishassabis/status/1968092796549730502,4,902
https://x.com/demishassabis/status/1968092796549730502,5,893
https://x.com/demishassabis/status/1968092796549730502,6,884
https://x.com/demishassabis/status/1968092796549730502,7,876
https://x.com/demishassabis/status/1968092796549730502,8,867
https://x.com/demishassabis/status/1968092796549730502,9,858
https://x.com/demishassabis/status/1968092796549730502,10,850
https://x.com/demishassabis/status/1968092796549730502,11,841
https://x.com/demishassabis/status/1968092796549730502,12,833
https://x.com/demishassabis/status/1968092796549730502,13,824
https://x.com/demishassabis/status/1968092796549730502,14,816
https://x.com/demishassabis/status/1968092796549730502,15,808
https://x.com/demishassabis/status/1968092796549730502,16,800
https://x.com/demishassabis/status/1968092796549730502,17,792
https://x.com/demishassabis/status/1968092796549730502,18,784
https://x.com/demishassabis/status/1968092796549730502,19,776
https://x.com/demishassabis/status/1968092796549730502,20,768
https://x.com/demishassabis/status/1968092796549730502,21,761
https://x.com/demishassabis/status/1968092796549730502,22,753
https://x.com/demishassabis/status/1968092796549730502,23,746
https://x.com/demishassabis/status/1968092796549730502,24,738
