Post,Hours Since Posting,New Views
https://x.com/timnitGebru/status/1968455247174504631,1,1056
https://x.com/timnitGebru/status/1968455247174504631,2,1003
https://x.com/timnitGebru/status/1968455247174504631,3,953
https://x.com/timnitGebru/status/1968455247174504631,4,906
https://x.com/timnitGebru/status/1968455247174504631,5,860
https://x.com/timnitGebru/status/1968455247174504631,6,817
https://x.com/timnitGebru/status/1968455247174504631,7,777
https://x.com/timnitGebru/status/1968455247174504631,8,738
https://x.com/timnitGebru/status/1968455247174504631,9,701
https://x.com/timnitGebru/status/1968455247174504631,10,666
https://x.com/timnitGebru/status/1968455247174504631,11,633
https://x.com/timnitGebru/status/1968455247174504631,12,601
https://x.com/timnitGebru/status/1968455247174504631,13,571
https://x.com/timnitGebru/status/1968455247174504631,14,543
https://x.com/timnitGebru/status/1968455247174504631,15,515
https://x.com/timnitGebru/status/1968455247174504631,16,490
https://x.com/timnitGebru/status/1968455247174504631,17,465
https://x.com/timnitGebru/status/1968455247174504631,18,442
https://x.com/timnitGebru/status/1968455247174504631,19,420
https://x.com/timnitGebru/status/1968455247174504631,20,399
https://x.com/timnitGebru/status/1968455247174504631,21,379
https://x.com/timnitGebru/status/1968455247174504631,22,360
https://x.com/timnitGebru/status/1968455247174504631,23,342
https://x.com/timnitGebru/status/1968455247174504631,24,325
https://x.com/timnitGebru/status/1968126862309331065,1,1278
https://x.com/timnitGebru/status/1968126862309331065,2,1273
https://x.com/timnitGebru/status/1968126862309331065,3,1268
https://x.com/timnitGebru/status/1968126862309331065,4,1263
https://x.com/timnitGebru/status/1968126862309331065,5,1258
https://x.com/timnitGebru/status/1968126862309331065,6,1253
https://x.com/timnitGebru/status/1968126862309331065,7,1248
https://x.com/timnitGebru/status/1968126862309331065,8,1243
https://x.com/timnitGebru/status/1968126862309331065,9,1238
https://x.com/timnitGebru/status/1968126862309331065,10,1233
https://x.com/timnitGebru/status/1968126862309331065,11,1228
https://x.com/timnitGebru/status/1968126862309331065,12,1223
https://x.com/timnitGebru/status/1968126862309331065,13,1218
https://x.com/timnitGebru/status/1968126862309331065,14,1213
https://x.com/timnitGebru/status/1968126862309331065,15,1208
https://x.com/timnitGebru/status/1968126862309331065,16,1203
https://x.com/timnitGebru/status/1968126862309331065,17,1998
https://x.com/timnitGebru/status/1968126862309331065,18,1993
https://x.com/timnitGebru/status/1968126862309331065,19,1988
https://x.com/timnitGebru/status/1968126862309331065,20,1983
https://x.com/timnitGebru/status/1968126862309331065,21,1978
https://x.com/timnitGebru/status/1968126862309331065,22,1973
https://x.com/timnitGebru/status/1968126862309331065,23,1968
https://x.com/timnitGebru/status/1968126862309331065,24,1963
