Video,Observation Date,New Reels Made With Template Since Last Observation,Total Likes Across All Reels,Total Comments Across All Reels
Absolutely Not,"April 24th, 2024",15,2100,145
Absolutely Not,"April 25th, 2024",23,5320,378
Absolutely Not,"April 26th, 2024",31,9660,686
Absolutely Not,"April 27th, 2024",39,15120,1058
Absolutely Not,"April 28th, 2024",47,21700,1505
Absolutely Not,"April 29th, 2024",55,29400,2030
Absolutely Not,"April 30th, 2024",63,38220,2639
Absolutely Not,"May 1st, 2024",71,48160,3332
Absolutely Not,"May 2nd, 2024",79,59220,4109
Absolutely Not,"May 3rd, 2024",87,71400,4970
