Video ID,Date Posted,Face Count,View Count
PkA_-Bi5tFc,2021-06-03,8,136386
UrMjoQABrl8,2021-06-03,8,155779
m8o16Jw3M54,2021-06-03,8,147380
-BTsFfzMa5Y,2021-06-03,8,161921
0HqMm8CovfQ,2021-06-03,8,183861
8hicIvWWDqw,2021-06-03,8,235769
92PhPq0ICxI,2021-06-03,8,689577
C_K-EG6S6u0,2021-06-03,8,163528
_6um9_dCaN0,2021-06-03,8,109767
cQ99uD7kx5A,2021-06-03,8,199494
dcvpu9Z3HSI,2021-06-03,8,129368
icJX_Hr1BKU,2021-06-03,8,183890
mJh2NvNf-uI,2021-06-03,8,154952
tkBe5hj2knM,2021-06-03,8,111100
WATFm8hxELc,2021-06-02,5,278186
Z7-3HF0ILuo,2021-06-02,5,365518
k_2IXlhRsNo,2021-06-02,5,81578
eGqnI1_7zHw,2021-06-02,5,166384
4IZ5Tm2E_eU,2021-06-02,5,346334
7LIr123szGI,2021-06-02,5,175187
iq-EbmsR2Xs,2021-06-02,5,1000494
Uw0swoMfdzM,2021-06-02,5,1404934
hrq7tzjT3gg,2021-06-02,5,398798
3izsCjDS3nY,2021-06-02,4,266969
RICwxpVv8qw,2021-06-02,4,189181
vQhHWyC7azY,2021-06-02,4,396282
TiYd7RxP6R4,2021-06-02,4,167868
HEiIkzlgj7c,2021-06-02,4,722058
-TZCs1dq4wc,2021-06-02,4,243906
0j9meA5HYnY,2021-06-02,4,339321
DLUjEqHtCMQ,2021-06-02,4,500854
E1IWaFWjqKE,2021-06-02,4,3189145
PYBzbaMgr_4,2021-06-02,4,327203
WSh0TS0ucWs,2021-06-02,4,842616
y_uXb5owHek,2021-06-02,4,182622
z9ZSYXuQudc,2021-06-02,4,217188
8pYl66tRmLE,2017-07-17,4,7381062
zZynKT4sGPo,2021-06-02,3,403710
UOUV90k_lz8,2021-06-02,3,232821
pDnOd1AMH3s,2021-06-02,3,126460
ZGk46E4sQZo,2021-06-02,3,279764
ubCeepFbVMI,2021-06-02,3,150261
VCGw6AtUFpM,2021-06-02,3,65370
NvK9APEhcdk,2020-08-21,3,95246992
