video_id,video_length,view_count,likes,comments,shares,description,create_time,hashtag_count
7561038181563419959,17000,1400000,300000,968,2627,this trend is so cute,1760441402,0
7560746845325118751,32000,759300,48700,736,591,on the way @Prada,1760373576,0
7560100504492150030,15000,4800000,523400,1760,2598,dc @Wiktor_Mi,1760223107,0
7559753245720186167,26000,2200000,170400,864,1253,i am so excited to attend the Red Bull Dance Your Style World Final tomorrow at the Intuit Dome!! see you there! @Red Bull USA @Red Bull Dance #RedBullDanceYourStyle #redbullfam #givesyouwiiings 🤍,1760142228,6
7556096007285591351,11000,17200000,1800000,4924,7711,@Dancing with the Stars #DWTS,1759290740,0
7556023299734605111,7000,9600000,1000000,2434,5777,i’ll come back anytime trust,1759273803,0
7554876451548417310,9000,5500000,136600,2131,1375,dancing with my Duo Bag for the @kate spade new york fall campaign 🫶 #KateSpadeNYPartner,1759006772,2
7554081899375889695,15000,5600000,146800,1692,1276,@Prada #pradass26 🤍,1758821763,2
7553988189988441358,11000,4300000,179100,1370,1413,@Prada,1758799951,0
7553635377332964638,19000,4300000,196400,1418,1554,paris,1758717801,0
7553316897182190878,42000,4500000,198800,1093,1573,dancing with @maya & choreo by the amazing @Liesl Brauch from crazy horse paris,1758643655,0
7552317372590214431,56000,4800000,74300,1462,1382,casually running @CeraVe account at #EADV2025! met the coolest dermatologists ever and now my skin barrier is stronger than ever.  #CeraVeEADV2025 #CeravePartner,1758410930,6
7551140293769268535,5000,6400000,305700,1895,2262,@maya,1758136908,0
7550786893399575839,29000,4200000,139800,1151,1577,europe soon @Prada,1758054595,0
7546314003253890317,73000,7100000,176900,3482,2244,holding onto summer for as long as possible @Prada #pradasummerkit!!,1757013162,2
7546081680042282254,19000,19400000,1900000,5202,29100,@maya @Nathan Levy @Michael Iván Carrier @Elsa dc @Robbie Blue,1756959110,0
7545691351074049293,17000,8500000,431800,1445,1687,@Elsa @& Juliet on Broadway,1756868187,0
7538247729395387661,11000,14300000,337800,7156,3339,so excited to announce that Red Bull Dance Your Style World Final is coming to LA on Oct 11! do the dance challenge with me for a chance to win a VIP trip to the biggest dance battle in the world or grab your tickets at the link in bio ✨🪩  #RedBullDanceYourStyle @Red Bull USA #RedBullFam  dc @Davidjrx @Marlee Hightower @Red Bull Dance,1755135107,4
7538183754917891383,73000,7800000,305900,3027,2438,come do a 2 show saturday with me @& Juliet on Broadway,1755120203,0
7538156502415101198,15000,8300000,526400,3157,4799,draft dc @Baby,1755113874,0
7535617030297259319,0,12000000,826100,4386,4701,,1754522576,0
7535600449899023671,15000,11100000,859800,4699,11600,tb lol dc @♾️,1754518718,0
7535539663281360142,5000,7300000,283000,1400,1553,but when roar starts i lock in trust @Elsa @& Juliet on Broadway,1754504562,0
7535175500222745869,7000,5600000,142400,1783,1545,@Elsa @& Juliet on Broadway,1754419801,0
7522201317855530253,9000,22900000,588400,28500,6401,@& Juliet on Broadway,1751399019,0
7518535748593798413,4000,16200000,436200,6404,4450,draft bc i miss @Masimb0 so much rn,1750545558,0
7518535461749443895,6000,13600000,309800,8171,3624,draft from tonys night!! ofc had to play some @& Juliet on Broadway,1750545490,0
7518495242589441335,13000,20500000,1300000,6279,9261,i got caught @jbayardelle dc @jillian webber,1750536142,0
7518491650419739918,13000,15000000,625300,3373,3254,dc @jillian webber,1750535306,0
7513687778027130158,9000,26000000,2100000,12400,19500,,1749416792,0
7509328858240339246,86000,14100000,317500,4595,2858,@& Juliet on Broadway,1748401897,0
7508095195347537195,0,32100000,2900000,10800,22000,alexa told me post this,1748114669,0
7507009359822540074,61000,15700000,580000,3513,8606,,1747861836,0
7506739922741529886,60000,12400000,256700,1960,2307,i turned 21 btw,1747799100,0
7506737966409207083,21000,12600000,463300,7632,55200,chella throwback @Masimb0 dc @Todd Williamson,1747798647,0
7506542970661784862,74000,10200000,276100,1869,1853,#katespadenypartner entering adulthood with all the things that fit in my @kate spade new york bag 👀 #katespadeny,1747753256,4
7505191102249536814,88000,8900000,194100,3943,2656,a Bar Tender @Wingstop pop up at my 21st was everything i wanted and more! we’re giving away 100 Bar Tender cocktail kits so you guys can continue the celebration with me. follow me and @wingstop and fill out the link in my bio for your chance to get one🍗🔥 #wingstoppartner,1747438508,2
7502438102619802922,24000,10400000,217100,3804,2407,it’s finally out! couldn’t wait to share the vibes on set with @kate spade new york 🤍 #KateSpadeNYPartner #katespadeny,1746797564,4
7495081387649699102,13000,14400000,566000,5554,2603,,1745084644,0
7495026892135861550,4000,9200000,205400,2371,2281,little mini vlog from day one,1745071996,0
7494782902790638891,18000,8100000,190600,2052,1751,chella 🤍,1745015142,0
7493410151106481450,18000,49500000,5100000,18200,77500,my bad. again,1744695582,0
7492908636289748255,12000,13100000,275600,2528,2332,@Revolve #revolvefestival #revolvepartner 🤍,1744578770,2
7492194046585228587,10000,28000000,2800000,6625,29100,chella day one,1744412402,0
7492163706126814510,5000,13200000,354000,2195,3304,,1744405332,0
7492064273804332331,128000,11800000,751700,2456,2540,,1744382211,0
7491336806818942238,17000,7400000,100100,2353,1961,summer soon @Prada #pradarenylon 🩵,1744212817,2
7490054654017948971,16000,7700000,355700,2047,2042,baby charli was packed with personality,1743914291,0
7485188394637692202,23000,18400000,2100000,8473,23000,,1742781264,0
7481323110185225518,83000,10500000,173700,3845,2762,"head of CeraVe HQ. (wearing @CeraVe , obviously). #ceravepartner ",1741881292,2
7476994709076905262,67000,17600000,561400,6347,2797,,1740873518,0
7476173321608989994,9000,12000000,317600,4494,5002,24 hours in milan @Prada,1740682263,0
7476173210858376490,7000,12000000,708700,3612,4594,,1740682237,0
7476167221308394798,9000,7900000,214800,2883,4543,milan makes me sooo happy!! 🤍 wearing @Prada s/s 2008,1740680841,0
7476130807053028654,24000,7200000,137000,2104,1711,🤍 #pradafw25 @Prada,1740672361,2
7476115226883034414,133000,5900000,140000,1461,1483,fashion week (day) starts now @Prada,1740668735,0
7476076618742697262,8000,7200000,422900,2306,5074,24 hours in milan @Prada #pradafw25,1740659747,2
7475052169322892587,8000,6100000,210900,2576,1618,come see me in @& Juliet on Broadway anytime now until september 7th!!!,1740421264,0
7474124403421236522,53000,9500000,964300,13100,7299,,1740205319,0
7474100713908604206,15000,6100000,434800,2672,4668,dc @Baby,1740199721,0
7473515982678543658,36000,4000000,79600,2115,1257,"i’m a head of CeraVe now 🤍 i’ve been using @CeraVe for years on my skin, and scalp care is actually skin care too. i think this new title calls for a new dress... #CeraVePartner",1740063621,2
7473312714203401514,141000,3800000,133800,1992,1391,,1740016237,0
7468335728104066347,32000,8200000,184900,5706,3261,my pre-show routine ☕️🧘🏻‍♀️🕯#CeraVePartner @CeraVe,1738857427,2
7466191658321890606,133000,8000000,284500,4532,2615,@Good Morning America @& Juliet on Broadway,1738358256,0
7466183503529610542,21000,7000000,383500,5072,6104,WHERE IS MY SHIRT?! i made this just so i could make this joke tbh dc @Todd Williamson,1738356358,0
7461750459791838506,10000,44200000,867300,23200,10500,the wig prep is the star of the show,1737324190,0
7461745367780969770,34000,29000000,1600000,20300,30200,tag dc!,1737322995,0
7461703211372563755,7000,79400000,7900000,51000,147900,well this is awkward,1737313170,0
7461448810871541034,13000,69200000,2500000,59200,25600,,1737253937,0
7461446431405002027,12000,62500000,3800000,20900,33400,hey tiktok… how are we?,1737253382,0
7461441032757071150,15000,34800000,1100000,11600,7709,tag dc !! @& Juliet on Broadway,1737252122,0
7461394512464727339,15000,44700000,2900000,49300,68300,wow tag dc,1737241291,0
7461393681338207531,15000,40300000,2800000,27700,94800,tag dc,1737241098,0
7461393303481617707,37000,35700000,2500000,19500,82800,og mash up,1737241009,0
7461392802254114094,15000,37900000,3100000,14400,39400,tag dc :),1737240893,0
7461392293602430254,15000,33400000,2800000,23200,107100,tag dc,1737240781,0
7461392223725178158,13000,24200000,1600000,8363,27500,tag dc,1737240756,0
7461388373710671147,14000,25600000,1900000,20600,45300,tag dc,1737239861,0
7461387423981915438,9000,25100000,1800000,15200,61100,tag dc,1737239640,0
7461066852563717422,15000,80300000,6600000,79900,369700,👻 @Kam,1737165004,0
7461065249937034538,15000,37200000,2100000,16000,41700,tag dc,1737164633,0
7461062977001835822,15000,67700000,5200000,35700,190400,lol tag dc!!!,1737164104,0
7461062324003114282,10000,42000000,3200000,15100,72900,tag dc please,1737163950,0
7461061758699179310,12000,71100000,6600000,35600,198000,tag dc,1737163820,0
7461044504993254702,10000,46500000,3700000,30200,108600,tag dc :),1737159800,0
7461039570407427374,10000,26300000,1300000,7124,24900,sc @essence💛,1737158656,0
7461039001458298154,17000,27900000,1700000,10500,57100,tag dc @Kouvr,1737158521,0
7461037809512729902,10000,36800000,3000000,21800,113400,so hard to find dc for these please tag!!!,1737158242,0
7461036939366649134,15000,28600000,2000000,8385,44500,plz tag dc!!!,1737158040,0
7461033579183754542,8000,24300000,1300000,7115,25100,dc @mattia,1737157258,0
7460992724284656942,7000,50100000,3800000,12600,55000,,1737147743,0
7460978477869813038,9000,17800000,259600,1895,1235,@& Juliet on Broadway,1737144435,0
7454638990948437291,87000,31100000,719800,10500,4639,2024 that was so fun!!! cant wait to see what 2025 brings :),1735668400,0
7453913151575297323,21000,21400000,830600,6327,12500,can you tell i like this one dc @Todd Williamson,1735499402,0
7453910667448356142,5000,17000000,838800,2854,2258,“that’s that tiktok bitch” always gets me,1735498822,0
7453894461840428330,21000,12900000,448300,2719,4228,look at my wig prep and ur blocked dc @Todd Williamson,1735495049,0
7453713273272339758,21000,15600000,783300,3462,10300,forgot but whatever dc @Todd Williamson,1735452865,0
7453707083985194286,19000,63200000,5900000,11200,78600,@Ava Noble dc @JhorelZapanta,1735451423,0
7453706560305450282,21000,10800000,321600,1683,2524,this was first take we will do better trust @Masimb0 @Ava Noble dc @Todd Williamson,1735451300,0
7452835665965747499,138000,10800000,633700,2569,6577,@queenelsanotfrozen @liampearce @rixey,1735248529,0
7452507405130239274,8000,8400000,339200,2074,2429,,1735172100,0
7450574862466223403,14000,11100000,354400,3841,3904,@queenelsanotfrozen dc @donthurtemnia,1734722146,0
7450574529656524075,12000,12000000,789800,3177,5747,this was the dress rehearsal,1734722067,0
7450344932721724718,14000,26900000,3200000,8370,29400,we are so back,1734668612,0
7450263901339454762,19000,82300000,8100000,17200,205900,we are redoing this better tonight promise @Ava Noble dc @JhorelZapanta,1734649744,0
7449867124270517550,67000,7800000,145500,1511,2711,teaching Justice Jackson the roar dance from @& Juliet on Broadway wasnt my 2024 bingo card 🤍,1734557361,0
7448392118466366762,15000,8700000,364200,2531,2997,@queenelsanotfrozen dc @donthurtemnia,1734213936,0
7447944950945434926,8000,8100000,345300,2730,2030,,1734109824,0
7447739508352666922,10000,10600000,883200,2625,5350,,1734061987,0
7447737590230584622,12000,5800000,181300,1659,2187,bowling fit check with the babies,1734061543,0
7447732972792335658,15000,6600000,306600,1747,2389,@Masimb0 @sonofbaconator dc @donthurtemnia,1734060466,0
7447649703057181998,15000,8200000,690900,3417,9813,dc @donthurtemnia,1734041079,0
7447649531853868330,6000,4600000,167700,1144,1367,,1734041039,0
7447368743828704558,14000,11300000,965300,4001,6806,dont mind the way i look it was a two show day dc @donthurtemnia,1733975662,0
7447246721786301742,31000,3800000,101900,1183,1390,couldn’t get rid of me just yet! excited and honored to be a part of this show 💗,1733947253,0
7447008237171264814,60000,4000000,147300,1592,2200,thank you for having me @Swarovski ✨,1733891726,0
7446987691507404074,8000,4200000,268500,1387,1850,,1733886942,0
7445806024159874350,14000,7700000,476300,3586,5606,dc @Baby,1733611823,0
7445805694034513194,10000,5400000,411400,1953,4306,,1733611747,0
7445012188755938606,7000,5500000,281700,2301,1980,,1733426983,0
7444288334974831915,59000,38500000,6100000,24800,262100,testing my muscle memory tag dc in comments i am having trouble finding them,1733258452,0
