Video,Observation Date,New Reels Made With Template Since Last Observation,Total Likes Across All Reels,Total Comments Across All Reels
Fashion POV,"August 15th, 2024",1200,52847,4295
Fashion POV,"August 16th, 2024",840,64192,5483
Fashion POV,"August 17th, 2024",588,73574,6394
Fashion POV,"August 18th, 2024",412,81295,7158
Fashion POV,"August 19th, 2024",288,87639,7796
Fashion POV,"August 20th, 2024",202,92847,8325
Fashion POV,"August 21st, 2024",141,96983,8764
Fashion POV,"August 22nd, 2024",99,100294,9132
Fashion POV,"August 23rd, 2024",69,102947,9445
Fashion POV,"August 24th, 2024",48,105083,9714
