video_id,video_length,view_count,likes,comments,shares,description,create_time
7538431890357865750,46000,15400000,534100,14200,13100,👌🏾 perfect #learnfromkhaby #commedy,1755177953
7535822781108194582,25000,8200000,379200,7584,6562,Nothing personal 🚶🏿🫶🏾#learnfromkhaby #comedy,1754570472
7532465100771413270,31000,7600000,314900,9167,5187,Maybe tomorrow #comedy #learnfromkhaby #gym,1753788704
7530273378234649878,44000,8500000,378200,9814,16300,Here some options 👍🏿  #comedy #learnfromkhaby,1753278402
7527278440291126550,37000,20000000,850800,9548,7086,It's all a matter of perspective #learnfromkhaby #comedy,1752581091
7524695285293993238,15000,7200000,394400,8170,5284,I saw you man 👀#learnfromkhaby #comedy,1751979652
7522839955991956759,29000,5800000,330000,6494,5473,"Maybe tomorrow , or maybe never…#learnfromkhaby #comedy ",1751547677
7520613613476826390,54000,5400000,318600,10300,7647,I got you bro 👍🏿#learnfromkhaby #comedy,1751029314
7518015832954326294,38000,7000000,468400,8802,3550,"Free Exclusive Minecraft Character items – Frog Mask, Glow Squid Hoodie, or Sniffer Slippers with qualifying Kellogg’s cereal purchase. Collect all 3! Visit www.wkkelloggminecraftpromo.com for details #ad",1750424472
7516905495962209558,22000,13200000,1400000,21500,12400,"Yes, it was a good dream… I dribbled Neymar. Then I woke up and he told me, “Go get me some water.” #learnfromkhaby #comedy #neymar #football",1750165951
7513194304127388950,33000,9500000,242400,8977,2858,"Free Exclusive Minecraft Character items – Frog Mask, Glow Squid Hoodie, or Sniffer Slippers with qualifying Kellogg’s cereal purchase.  Collect all 3!  Visit www.wkkelloggminecraftpromo.com for details #ad#learnfromkhaby #comedy ",1749301869
7511706784608898326,21000,13900000,714800,11000,16000,"Sorry teacher, I am never going to bring my phone to school again#learnfromkhaby #comedy ",1748955531
7505030969712217366,20000,22000000,1400000,18000,24700,Level ♾️#learnfromkhaby #comedy,1747401195
7503547470006226198,33000,11300000,750400,14400,8006,You can try it this way too #learnfromkhaby #comedy,1747055793
7501786655280336150,22000,8700000,626200,10200,4297,Arriving in style at the Met Gala with BOSS #beyourownboss,1746645819
7494637665753713942,16000,21300000,1300000,20100,29900,"My bad man , I was training 🥷🏾#learnfromkhaby #comedy",1744981316
7493550414294551830,30000,8800000,531300,25900,5359,Maybe next time…🥲#learnfromkhaby #comedy,1744728172
7489461465032740118,46000,21600000,1100000,13900,12300,Next towel !!!#learnfromkhaby #comedy,1743776138
7489460780052630806,31000,13600000,1000000,18700,6182,This is Qatar Airways! Get a chance to WIN 1 of 5 BUSINESS CLASS TICKETS in 2 easy steps: 1. Follow @qatarairways on Instagram & Tiktok. 2. Comment #QRFlyMeTo on this post.,1743775979
7487956054400208151,35000,14500000,837700,9329,10600,Good night 😴 #learnfromkhaby #comedy,1743425632
7485735249675177238,37000,10500000,542600,8079,9836,I got you #learnfromkhaby #comedy,1742908565
7483143881148665110,48000,82500000,4100000,37600,95800,How is it with the dessert?#learnfromkhaby #comedy,1742305211
7481671975975341334,35000,15600000,1100000,17000,19700,Did I lost something ? @Joe Scandrett #learnfromkhaby #comedy,1741962507
7481667028445580566,32000,5000000,172600,4219,1753,"Friday vibes, great flavour 'n crunch, no cooking 😂. Just me, my GDK x Doritos Loaded Kebag, chilling 🌙 #FridayFeeling #gdk #germandonerkebab #doritosloaded #donerkebag @GermanDonerKebabUK @Doritos UK ",1741961353
7480549817404509462,33000,209000000,8100000,87900,214900,At least he left me the shoes.#learnfromkhaby #comedy,1741701236
7479433999937539350,29000,10000000,453400,7118,14400,You can keep it man 🕷️👌🏾#learnfromkhaby #comedy,1741441438
