Video ID,View Count,Month Posted
7396495415899639082,11200000,July
7374538296153673003,10900000,May
7454726921914551583,598,December
7454721571857501471,1079,December
7454622510148062494,675,December
7453449386811591966,481,December
7453136573299756318,6481,December
7452535286048902430,698,December
7451986143702207775,1155,December
7451739380202409246,1010,December
7451664401553214750,27900,December
7451289604868689183,7221,December
7450982836200410399,809,December
7450922577020718367,348,December
7450875029329382687,438,December
7450539545478663454,1814,December
7450308912282078494,3307,December
7450172768928206111,397900,December
7450139694983073054,59400,December
7449961914219728159,1896,December
7449819958525103390,540,December
7449803028225379615,2269,December
7449779901634268447,784,December
7449486669314542878,1586,December
7449236822179319070,395,December
7449198474437856543,22300,December
7449053446981963038,753,December
7448783184076033310,655,December
7448688973238635806,1470,December
7448449662140321055,11200,December
7448344880142617887,811,December
7448296708288662814,400800,December
7448111174656314655,185200,December
7447945660805991711,41000,December
7447690057403616542,1502,December
7447598620355955998,6561,December
7447286758225480990,1269,December
7447222028798627103,12700,December
7446930695865273631,473,December
7446817987446836511,22400,December
7446433070451887390,847,December
7446149282626866463,1081,December
7446099838808116511,1235,December
7445329072168652063,2395,December
7444619929124457759,33200,December
7444211739513589022,4802,December
7443957537818397983,667900,December
7443914841347198239,5089,December
7443490016820579626,25900,December
7443177577734360366,4166,November
7442843795634326827,14000,November
7441992356196338986,10300,November
7441691091021090094,6409,November
7441651989928267050,4113,November
7441345369038015790,5115,November
7440907224500931886,2500000,November
7440159016464059694,9533,November
7439792482310786346,6468,November
7439495920384937262,5704,November
7439403419598720302,1600000,November
7439191613374532906,3737,November
7439053569640221995,6622,November
7438808441239489834,3861,November
7438716077598854446,258000,November
7438292998804327723,810000,November
7437551751336578350,280500,November
7436447509922237739,9443,November
7435701396214697258,5528,November
7435132333289819438,8118,November
7435017884012956974,5195,November
7434958477560204587,8394,November
7434199019511123246,4623,November
7434193745764961578,5004,November
7433993964862213422,59600,November
7433102043360857387,111600,November
7432344802215169322,3700000,November
7432334470071520555,20300,November
7431594049427049771,4137,October
7431584280620453163,3371,October
7430100744067370283,5069,October
7429771086943849770,55100,October
7429040973558287662,8196,October
7427903841795984683,5635,October
7427708042654829867,3429,October
7427273560072326446,4231,October
7426412366591479083,6213,October
7425314795311746347,952200,October
7424546105444125994,13200,October
7423798498581171502,57600,October
7423030813731622190,6442,October
7422654137298341162,7431,October
7422317468976254250,17000,October
7421949546709716266,9398,October
7421541070221200682,7440,October
7421296496441609515,35700,October
7420102775771598122,14200,September
7419775520872746282,11900,September
7419333685348060462,14400,September
7419001800000425258,14300,September
7417643610159516971,31000,September
7417494619266518315,12900,September
7416754271091281194,13200,September
7416470833742253355,20800,September
7415663352413949230,22700,September
7415267710042524971,11200,September
7414897724321008939,99100,September
7414501249434914090,28500,September
7414178451122310443,32200,September
7413781936310881582,34600,September
7412681771734633770,34700,September
7410822652786380074,85400,September
7410493198012910891,29100,September
7405388906923019566,28300,August
7403558904568810794,28000,August
7402667299531935018,21000,August
7401898415422065963,27800,August
7401587540521700650,263400,August
7400156970675817774,29300,August
7399684696038182190,30100,August
7399346934940568874,24800,August
7398903639147842859,27100,August
7398715886766509354,31200,August
7398210806476836139,44800,August
7397790025116634411,136100,July
7396770241390562602,86700,July
7396406957961219370,42900,July
7396030610160094506,1200000,July
7395391279049346346,21800,July
7394626849596476718,16000,July
7394106534877252906,14700,July
7393829363894078766,11100,July
7393490481889660206,9947,July
7391526726959975722,9396,July
7390872304663973166,10300,July
7390004143785577771,39700,July
7389376576737037611,9476,July
7388959234005765419,16400,July
7388193615379467562,6965,July
7386737380293741867,47900,July
7384895193599823146,6752,June
7383143892012748078,16000,June
7380424693406420270,135900,June
7379625108488359211,8413,June
7373395959255993643,18700,May
7372676086012005678,62300,May
7370021294361857323,17600,May
7369722889664302379,21200,May
7369277870021086510,4300000,May
7368847934152019246,15400,May
7368163465430682926,10400,May
7367505713058368811,39000,May
7363804926792781098,7086,April
7362948490885991722,7110,April
7362254274539146538,12400,April
7360811174364990763,6706,April
7359727195335576875,17700,April
7358922626569375019,8113,April
7357186195538922794,5967,April
7354441579240770858,3700000,April
7351546153781038379,3100000,March
7351477349206117678,8189,March
7351141178819071278,4666,March
7349976016053456171,5243,March
7349223861101006123,5876,March
7348479558900927786,1500000,March
7346718257170353454,6518,March
7345912965138418990,12300,March
7344752786896096554,5244,March
7344005404113915178,4142,March
7342188405964524842,6705,March
7341436692513000750,6873,March
7339556194748550442,3895,February
7337744879616806186,2721,February
7337467069191048490,4315,February
7336986699848944942,2341,February
7336323985501719851,5397,February
7335513281328631083,2204,February
7334417206131936558,3236,February
7334024457742191918,2039,February
7333663120814263598,1893,February
7333258962344774958,2411,February
7332714957005540651,1745,February
7331820333814598955,1952,February
7329888057656790318,6240,January
7329541341816491310,1960,January
7328117527064808750,1912,January
7327026287145438506,1731,January
7326598839367126318,1736,January
7326266662158814510,1668,January
7325898295430204718,2810,January
7325515690725657899,2388,January
7325076573386951982,1807,January
7324735772274199854,1583,January
7322491419170671918,1515,January
7319522629814127918,1088,January
