hour,comments_in_hour,cumulative_comments
1,159,159
2,151,310
3,181,491
4,221,712
5,143,855
6,133,988
7,119,1107
8,71,1178
9,51,1229
10,30,1259
11,16,1275
12,26,1301
13,13,1314
14,12,1326
15,14,1340
16,22,1362
17,27,1389
18,19,1408
19,36,1444
20,35,1479
21,29,1508
22,18,1526
23,8,1534
24,4,1538
25,8,1546
26,5,1551
27,5,1556
28,1,1557
29,4,1561
30,5,1566
31,3,1569
32,2,1571
33,3,1574
34,1,1575
35,2,1577
36,1,1578
37,2,1580
38,1,1581
39,2,1583
40,1,1584
41,1,1585
42,5,1590
43,0,1590
44,3,1593
45,2,1595
46,1,1596
47,2,1598
48,1,1599
