video_id,title,likes,views,published_date
yWEUL3crU_E,I Baked a Cake In a Race Car,415590,20602980,2025-10-21T16:00:01Z
JgJrQnDIRgg,First to Answer the Phone Wins $10000,1133910,34203486,2025-10-17T16:00:00Z
gtkqnhN0VkU,Answer The Door Win $10000,1594344,48276321,2025-10-14T16:00:00Z
oBXSvS2QKxU,100 Kids Vs World's Strongest Man!,2330318,101195080,2025-10-11T16:00:00Z
UTdcX1e0cMA,Jump Over The Lava Win!,1519475,50336972,2025-10-10T16:00:01Z
oiZvK6MY7tI,Call Your Ex Win $10000,1825418,61716936,2025-10-07T16:00:00Z
F0OkwXKcPSE,Hi Me In 10 Years,3150728,43568215,2025-10-04T16:00:07Z
686PL7rt654,World’s Fastest Dinner Date,2863424,185093048,2025-10-03T16:00:03Z
zo7i8VTpfNM,Would You Risk Dying For $500000?,2003341,87298530,2025-09-27T16:00:04Z
NfhuGUyWYfQ,Would Your Grandma Go Skydiving?,2050092,67333950,2025-09-26T18:00:07Z
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,5357429,261608212,2025-09-23T16:00:07Z
9Xeepzg1B8I,Which Celebrity Punches The Hardest?,2795929,123094067,2025-09-19T16:00:03Z
50G0kIty7Cg,Answer The Call Win $10000,4953906,213919914,2025-09-16T17:00:04Z
4l97aNza_Zc,Survive 30 Days Chained To Your Ex Win $250000,3368520,148732135,2025-09-13T16:00:01Z
3ih2bPKSWsQ,I Arrested IShowSpeed,1936031,59714120,2025-09-12T17:00:01Z
uA9Zcg3vHvo,I Raced IShowSpeed,6796617,337215929,2025-09-01T20:45:41Z
_AbFXuGDRTs,$1 vs $1000000000 Nuclear Bunker!,2607916,117704974,2025-08-30T16:00:11Z
MOGW3v3pJ5Y,1 Subscriber = 1 Penny Donated,22477255,561889390,2025-08-29T16:00:10Z
XNtTO_339kU,Pick The Wrong Tube Get Slimed,2236924,96446733,2025-08-27T16:00:02Z
rB9NynBZ4go,Reaction Time Challenge,1767459,106143117,2025-08-19T16:00:02Z
TDv56whosPQ,Survive 100 Days In Prison Win $500000,2870592,119672136,2025-08-16T19:00:02Z
R_BmT1OJw98,Every YouTube Play Button I Have,2033601,79192543,2025-08-15T16:00:01Z
vpRW4JhzfSE,1 Subscriber = 1 Second In The Arctic,2297093,64462746,2025-08-08T16:00:02Z
qXW93Cois2s,Guess What Hit You,1160575,64577085,2025-08-05T16:00:01Z
