Video,Observation Date,New Reels Made With Template Since Last Observation,Total Likes Across All Reels,Total Comments Across All Reels
Let's Get Back To Talking About My Outfit,"June 26th, 2024",45,6723,489
Let's Get Back To Talking About My Outfit,"June 27th, 2024",68,7184,527
Let's Get Back To Talking About My Outfit,"June 28th, 2024",102,7829,618
Let's Get Back To Talking About My Outfit,"June 29th, 2024",153,8694,743
Let's Get Back To Talking About My Outfit,"June 30th, 2024",230,9357,829
Let's Get Back To Talking About My Outfit,"July 1st, 2024",345,9768,915
Let's Get Back To Talking About My Outfit,"July 2nd, 2024",518,9984,982
Let's Get Back To Talking About My Outfit,"July 3rd, 2024",777,10129,1047
Let's Get Back To Talking About My Outfit,"July 4th, 2024",1165,10283,1124
Let's Get Back To Talking About My Outfit,"July 5th, 2024",1748,10459,1218
