Video ID,View Count,Month Posted
7454665176307207470,1300000,December
7454567535573224746,492200,December
7454362875759562027,10800000,December
7454019052344741163,656500,December
7453639107957280042,460800,December
7453637407833967914,8700000,December
7452522582949203246,10400000,December
7452483893845904686,4000000,December
7452431713759890734,4100000,December
7451782043362430254,1000000,December
7451408195664284974,4300000,December
7451394735337508139,4400000,December
7451290908793834794,1100000,December
7450336945080732971,4200000,December
7449544111893515566,1400000,December
7449145028972170538,13700000,December
7448808169679359278,1500000,December
7448405569750404398,11100000,December
7448053840651308331,5700000,December
7447688545499729195,1900000,December
7447662475534699818,1900000,December
7447334726161173806,1800000,December
7446857191962791211,9100000,December
7446584469126925614,10900000,December
7446434003990711598,7500000,December
7446193577778089258,996200,December
7446162587114540334,1100000,December
7446088844421647659,1400000,December
7445816190108208430,9900000,December
7444691442871586094,15400000,December
7444335128236625198,17800000,December
7432820403464146219,103000000,November
7443275361930038570,12400000,November
7442840096904154414,5400000,November
7442480585462844718,18400000,November
7442162286942244138,12500000,November
7442131137494928686,19900000,November
7441796031718706475,8500000,November
7441760918888844586,19100000,November
7441037566280846638,34600000,November
7440604527394295083,5000000,November
7440598495515528490,30400000,November
7440285600709758250,7600000,November
7440266450637507882,6900000,November
7439901342514253102,5700000,November
7439878266120408366,14900000,November
7439510157845122350,11700000,November
7439132575924374830,21400000,November
7438727223844080939,6300000,November
7438381223086443819,8000000,November
7438270686587669802,20000000,November
7437929809805692203,9300000,November
7437896055150185770,16200000,November
7437660958979280174,12400000,November
7437642796586028330,10400000,November
7437632474823544110,12200000,November
7437604970465086762,32800000,November
7437598341858397482,13400000,November
7437554510853262638,7200000,November
7437532824246291754,9500000,November
7437520610206518571,10900000,November
7437341791315184942,3400000,November
7437310955551296811,12200000,November
7437246585249205550,12400000,November
7436962555043613998,6700000,November
7436883761490480430,11900000,November
7435835831799024939,12900000,November
7433557508179987755,4000000,November
7432788187992575278,14600000,November
7432460687558937899,2300000,November
7432083975289441578,9600000,October
7431339432831110443,6100000,October
7430965211261046059,20000000,October
7430254748361624875,3000000,October
7429490131922455850,2800000,October
7429080992759090478,2700000,October
7428743085376490794,31100000,October
7428435718047059246,1700000,October
7428004257099549998,9500000,October
7427233473309592874,1000000,October
7426903235593604394,11000000,October
7426190498479623467,1700000,October
7425759861977271594,2800000,October
7425435000859839787,2300000,October
7425045040910585131,3400000,October
7424679914810494254,742000,October
7424249365646118190,1200000,October
7423577613509201195,933700,October
7422055089881337134,1100000,October
7421956245185170734,2300000,October
7421689343405755690,2000000,October
7421545821126135083,2100000,October
7420561410352074026,1300000,September
7419509567706500395,2200000,September
7419122406276500767,3000000,September
7418735834545048878,1000000,September
7418012471471901982,4600000,September
7417263774467427615,14600000,September
7416152486534319391,1800000,September
7415724559300578590,1100000,September
7415406597570071838,4000000,September
7415057443727641887,3700000,September
7415025162585787679,707100,September
7414680809145240863,5700000,September
7414307099091471647,4200000,September
7413182470851513630,6100000,September
7412827175310609695,5300000,September
7412081429921795359,2200000,September
7411915487497538846,1000000,September
7411351428117105951,7000000,September
7410466901329055006,4300000,September
7410288345928027423,6300000,September
7410202346912828703,4400000,September
7409881870835518750,2100000,September
7409821931744152863,7700000,September
7409692553706016031,3600000,September
7409460333435260190,14900000,August
7409108621209898270,3700000,August
7408728385561677087,3200000,August
7408351947993976094,12900000,August
7408265862018272542,6500000,August
7407946064835136799,1600000,August
7407618501495622942,2300000,August
7406845745321610527,5400000,August
7406467177164868895,8400000,August
7405756561076931871,3800000,August
7405375496873135391,858800,August
7404490353266412831,3500000,August
7403908438658485535,727900,August
7403178641120693535,5200000,August
7402071449541905695,1500000,August
7400949535884725535,1900000,August
7400184086742060318,843300,August
7399453666018659615,8200000,August
7398729652782583070,5800000,August
7398599693116181791,750400,August
7397609635395505439,2800000,July
7397539976512015646,1200000,July
7396877275557383454,15000000,July
7395708176718499102,2200000,July
7395369033727577375,4600000,July
7394653123492449566,3500000,July
7393171036734328094,826300,July
7391677479565430046,8300000,July
7390922290478714143,6100000,July
7390005350025465119,5600000,July
7389442838305492267,7300000,July
7389067429126688043,6500000,July
7387595034058689834,2800000,July
7387229511374409002,5200000,July
7386692638373612843,2100000,July
7386436512298044715,3200000,June
7386099746680622382,12300000,June
7385362776321199406,4500000,June
7384947940776873259,1000000,June
7384448375116139819,2000000,June
7383864913347005742,1000000,June
7383514669064965419,7100000,June
7383111668101926186,1000000,June
7382736564259949866,1400000,June
7382381967200800043,768600,June
7382271052929305898,3300000,June
7381637352629865770,836200,June
7381277016844225834,7800000,June
7380551367896747306,1700000,June
7379783863385509162,4100000,June
7379731058104782123,1400000,June
7377550870835285294,30700000,June
7377196677746330926,1500000,June
7376829379541863722,24300000,June
7376449672912866606,869800,June
7374588493508496682,1400000,May
7374115481026088238,2100000,May
7373082204458552619,5800000,May
7372746469687692587,7200000,May
7372381266127179051,6700000,May
7372011637122796843,5700000,May
7371901464635002155,4100000,May
7371231885025971499,6300000,May
7370479627791535406,4300000,May
7370178626651770154,2100000,May
7370152431742618922,7500000,May
7369325709312970026,4500000,May
7366820479006461214,9700000,May
7365680403761450271,6800000,May
7364587301944544542,2200000,May
7364184920555638047,2200000,May
7363868678351293726,2200000,April
7363829752769154335,1400000,April
7363062881748929822,7000000,April
7362221779324128543,3100000,April
7361969387416423710,1800000,April
7361623144760757534,2900000,April
7361226393797152030,653900,April
7360881227525623070,1100000,April
7360494384988704030,3400000,April
7360026543835368734,807700,April
7360017542619909406,1700000,April
7359366751605361950,2500000,April
7358945668473376046,1500000,April
7358658313468349739,2000000,April
7358224941071732010,539100,April
7357877866064923946,613200,April
7357490630337187118,974300,April
7357490123195403566,3600000,April
7357430389797047598,952700,April
7357171600405351722,437600,April
7356801704450477358,7900000,April
7356740014702693675,4400000,April
7356276324249488682,753900,April
7355679573834534186,1700000,April
7354542374401445166,3200000,April
7353826862339984670,336900,April
7353819416297000222,5400000,April
7353779737229069599,349600,April
7353379631669546270,577200,April
7353069542089739551,7500000,April
7352671903884102943,5900000,March
7352348987602652447,2100000,March
7351984739558984990,19000000,March
7351603456421023006,1400000,March
7351555208666762527,672600,March
7351240836958522654,439200,March
7350838727448464671,2600000,March
7350815256135912734,690800,March
7350490802675617055,12500000,March
7350478480670231838,1800000,March
7350434523781319967,1700000,March
7350122372898360606,1200000,March
7348995523476475166,17700000,March
7348625430087257375,8000000,March
7348562932583714078,603700,March
7347514328972643614,11800000,March
7347113830016699678,2900000,March
7346408376319986975,3600000,March
7345997859407334686,2500000,March
7345647776169987359,6100000,March
7344538064485764383,4200000,March
7344207353341955359,1000000,March
7344175006592650538,4100000,March
7343426917850287391,5100000,March
7343387349155450142,1100000,March
7342698739422760222,5100000,March
7342326498612825374,7300000,March
7341939273832189215,5800000,March
7341454313710963998,1300000,March
7340830152890305823,551700,February
7340013210939952415,1400000,February
7339715003106299166,1900000,February
7339376714675424543,5300000,February
7339269064038075679,1600000,February
7339212097546407199,1100000,February
7338492317667511582,456000,February
7338259624308526367,7600000,February
7337803820136762655,1600000,February
7337497189230447903,1100000,February
7337143362715159839,5100000,February
7336369350221286686,4400000,February
7336233551525842206,4800000,February
