track_name,track_artist,track_duration_mins,track_duration_ms
Risk It All,Bruno Mars,3.4,204000
DtMF,Bad Bunny,3.95,237000
Stateside + Zara Larsson,PinkPantheress  Zara Larsson,3.083333333,185000
Man I Need,Olivia Dean,3.066666667,184000
Opalite,Taylor Swift,3.916666667,235000
End of Beginning,Djo,2.65,159000
Homewrecker,sombr,3.283333333,197000
WHERE IS MY HUSBAND!,RAYE,3.966666667,238000
Folded,Kehlani,3.133333333,188000
CHANEL,Tyla,5.2,312000
Aperture,Harry Styles,2.933333333,176000
So Easy (To Fall In Love),Olivia Dean,2.816666667,169000
Gabriela,KATSEYE,3.283333333,197000
bittersweet,Madison Beer,3.383333333,203000
Choosin' Texas,Ella Langley,3.883333333,233000
I Just Might,Bruno Mars,3.55,213000
Die On This Hill,SIENNA SPIRO,3.616666667,217000
The Fate of Ophelia,Taylor Swift,3.766666667,226000
Love Me Not,Ravyn Lenae,3.33,199800
Ordinary,Alex Warren,3.116666667,187000
The Great Divide,Noah Kahan,5.3,318000
Dracula - JENNIE Remix,Tame Impala  JENNIE,3.05,183000
Golden,HUNTR/X  EJAE  AUDREY NUNA  REI AMI  KPop Demon Hunters Cast,3.25,195000
Tears,Sabrina Carpenter,2.666666667,160000
12 to 12,sombr,4.05,243000
Raindance (feat. Tems),Dave  Tems,3.666666667,220000
Drag Path,Twenty One Pilots,3.733333333,224000
luther (with sza),Kendrick Lamar  SZA,2.966666667,178000
Fame is a Gun,Addison Rae,3.05,183000
No Broke Boys,Disco Lines  Tinashe,2.733333333,164000
What You Saying,Lil Uzi Vert,2.2,132000
Messy,Lola Young,4.733333333,284000
Midnight Sun,Zara Larsson,3.166666667,190000
Die With A Smile,Lady Gaga  Bruno Mars,4.2,252000
WILDFLOWER,Billie Eilish,4.35,261000
White Keys,Dominic Fike,2.4,144000
iloveitloveitloveit,Bella Kay,3.05,183000
Manchild,Sabrina Carpenter,3.566666667,214000
E85,Don Toliver,2.55,153000
FEVER DREAM,Alex Warren,2.55,153000
Dying for You,Charli xcx,3.033333333,182000
Who Knows,Daniel Caesar,3.766666667,226000
Sienna,The Marias,3.75,225000
butterflies.,Brent Faiyaz,4.133333333,248000
Timeless (feat Playboi Carti),The Weeknd  Playboi Carti,4.266666667,256000
Pink Pony Club,Chappell Roan,4.3,258000
That's So True,Gracie Abrams,2.766666667,166000
La Perla,ROSALIA  Yahritza Y Su Esencia,3.266666667,196000
4 Raws,EsDeeKid,2.45,147000
