Video,Observation Date,New Reels Made With Template Since Last Observation,Total Likes Across All Reels,Total Comments Across All Reels
Wannabe X Intoxicated,"April 8th, 2024",1247,68294,4847
Wannabe X Intoxicated,"April 9th, 2024",1871,72583,5394
Wannabe X Intoxicated,"April 10th, 2024",2806,76295,6185
Wannabe X Intoxicated,"April 11th, 2024",4209,80736,7294
Wannabe X Intoxicated,"April 12th, 2024",6314,84847,8573
Wannabe X Intoxicated,"April 13th, 2024",9471,87294,9847
Wannabe X Intoxicated,"April 14th, 2024",14206,89183,11295
Wannabe X Intoxicated,"April 15th, 2024",21309,91294,12847
Wannabe X Intoxicated,"April 16th, 2024",31964,93583,14573
Wannabe X Intoxicated,"April 17th, 2024",47946,96847,16294
