Video,Observation Date,New Reels Made With Template Since Last Observation,Total Likes Across All Reels,Total Comments Across All Reels
What Do You Think I'm Going To Say To You?,"April 24th, 2025",8,1240,89
What Do You Think I'm Going To Say To You?,"April 25th, 2025",12,3680,247
What Do You Think I'm Going To Say To You?,"April 26th, 2025",18,8950,623
What Do You Think I'm Going To Say To You?,"April 27th, 2025",27,18750,1340
What Do You Think I'm Going To Say To You?,"April 28th, 2025",41,34200,2580
What Do You Think I'm Going To Say To You?,"April 29th, 2025",61,58900,4720
What Do You Think I'm Going To Say To You?,"April 30th, 2025",92,96400,7850
What Do You Think I'm Going To Say To You?,"May 1st, 2025",138,148600,12200
What Do You Think I'm Going To Say To You?,"May 2nd, 2025",207,225300,18900
What Do You Think I'm Going To Say To You?,"May 3rd, 2025",310,337800,28600
